HP04,defaultValue,algorithm_algo_id 
learn_rate,0.1,2
learn_rate_annealing,1,2
col_sample_rate,1,2
max_abs_leafnode_pred,1.7976931348623157e+308,2
pred_noise_bandwidth,0,2
distribution,AUTO,2
tweedie,1.5,2
quantile_alpha,0.5,2
huber_alpha,0.9,2
categorical_encoding,AUTO,2
histogram_type,AUTO,2
ntrees,50,2
max_depth,5,2
min_rows,10,2
sample_rate,1,2
col_sample_rate_per_tree,1,2
min_split_improvement,1.00E-05,2
seed,-1,1
seed,,1
tweedie_variance_power,0,1
tweedie_variance_power,,1
tweedie_link_power,1,1
tweedie_link_power,,1
alpha,,1
alpha,,1
lambda,,1
lambda,,1
missing_values_handling,MeanImputation,1
missing_values_handling,,1
standardize,TRUE,1
standardize,,1
theta,1.00E-10,1
theta,,1
mtries,-1,4
categorical_encoding,AUTO,4
mtries,-1,3
categorical_encoding,AUTO,3
balance_classes,FALSE,5
class_sampling_factors,,5
max_after_balance_size,5,5
activation,Rectifier,5
hidden,"[200, 200]",5
epochs,10,5
train_samples_per_iteration,-2,5
target_ratio_comm_to_comp,0.05,5
seed,-1,5
adaptive_rate,TRUE,5
rho,0.99,5
epsilon,1.00E-08,5
rate,0.005,5
rate_annealing,1.00E-06,5
rate_decay,1,5
momentum_start,0,5
momentum_ramp,1000000,5
momentum_stable,0,5
nesterov_accelerated_gradient,TRUE,5
input_dropout_ratio,0,5
hidden_dropout_ratios,,5
l1,0,5
l2,0,5
max_w2,3.40E+38,5
initial_weight_distribution,UniformAdaptive,5
initial_weight_scale,1,5
initial_weights,,5
initial_biases,,5
loss,Automatic,5
distribution,AUTO,5
tweedie_power,1.5,5
quantile_alpha,0.5,5
score_interval,5,5
score_training_samples,10000,5
score_validation_samples,0,5
score_duty_cycle,0.1,5
classification_stop,0,5
regression_stop,1.00E-06,5
quiet_mode,FALSE,5
score_validation_sampling,Uniform,5
overwrite_with_best_model,TRUE,5
use_all_factor_levels,TRUE,5
standardize,TRUE,5
variable_importances,TRUE,5
fast_mode,TRUE,5
force_load_balance,TRUE,5
replicate_training_data,TRUE,5
single_node_mode,FALSE,5
shuffle_training_data,FALSE,5
missing_values_handling,MeanImputation,5
sparse,FALSE,5
col_major,FALSE,5
average_activation,0,5
sparsity_beta,0,5
max_categorical_features,2147483647,5
reproducible,FALSE,5
elastic_averaging,FALSE,5
elastic_averaging_moving_rate,0.9,5
elastic_averaging_regularization,0.001,5
categorical_encoding,AUTO,5
